Date,Open,High,Low,Close,Volume,Change,Transaction
2023-05-26,69800,70400,69500,70300,19549511,0.021802325581395277,1374330623300
2023-05-30,71300,72300,71200,72300,27476897,0.028449502133712556,1986579653100
2023-05-31,72400,72500,71000,71400,25666087,-0.012448132780082943,1832558611800
2023-06-01,70900,71600,70600,70900,14669296,-0.007002801120448154,1040053086400
2023-06-02,71700,72200,71600,72200,12161798,0.01833568406205921,878081815600
2023-06-05,72700,72700,71400,71700,12686829,-0.006925207756232732,909645639300
2023-06-07,71300,71600,70800,71000,14796613,-0.009762900976290068,1050559523000
2023-06-08,70400,70900,70000,70900,19165568,-0.0014084507042253502,1358838771200
2023-06-09,71100,72300,70800,72000,15050209,0.015514809590973178,1083615048000
2023-06-12,72100,72400,70800,71000,12064287,-0.01388888888888884,856564377000
2023-06-13,71700,72200,71600,72000,13227285,0.014084507042253502,952364520000
2023-06-14,72100,72200,71100,71900,12541046,-0.001388888888888884,901701207400
2023-06-15,72100,72300,71300,71500,13614994,-0.0055632823365785455,973472071000
2023-06-16,71800,71900,70900,71800,15373696,0.00419580419580412,1103831372800
2023-06-19,71300,71700,70900,71200,11100887,-0.00835654596100277,790383154400
2023-06-20,70700,71400,70400,71400,11557883,0.002808988764045006,825232846200
2023-06-21,70700,71200,70400,70500,10626603,-0.012605042016806678,749175511500
2023-06-22,70200,71500,70100,71300,11411007,0.01134751773049647,813604799100
2023-06-23,72000,72200,71600,71600,12329484,0.004207573632538653,882791054400
2023-06-26,71700,72500,71500,72400,10541901,0.011173184357541999,763233632400
2023-06-27,72500,72600,72000,72600,9442997,0.0027624309392264568,685561582200
2023-06-28,72600,72700,72000,72700,8783093,0.0013774104683195176,638530861100
2023-06-29,73100,73400,72400,72400,12229967,-0.004126547455295726,885449610800
2023-06-30,72500,72700,71700,72200,11694765,-0.002762430939226568,844362033000
2023-07-03,72700,73200,72600,73000,10722181,0.011080332409972193,782719213000
2023-07-04,73400,73600,72900,73000,10214350,0.0,745647550000
2023-07-05,73000,73300,71900,72000,12310610,-0.013698630136986356,886363920000
2023-07-06,71900,72400,71500,71600,14777667,-0.005555555555555536,1058080957200
2023-07-07,71100,71400,69800,69900,17308877,-0.023743016759776525,1209890502300
2023-07-10,70000,70400,69200,69500,11713926,-0.005722460658083017,814117857000
2023-07-11,70200,71500,70100,71500,12177392,0.02877697841726623,870683528000
2023-07-12,71200,72000,71100,71900,10375581,0.005594405594405494,746004273900
2023-07-13,72400,72600,71900,71900,14417279,0.0,1036602360100
2023-07-14,72500,73400,72400,73400,15882519,0.020862308762169768,1165776894600
2023-07-17,73200,73500,72800,73300,10060049,-0.0013623978201634523,737401591700
2023-07-18,73200,73500,72000,72000,11697900,-0.017735334242837686,842248800000
2023-07-19,72700,72800,71300,71700,10896412,-0.004166666666666652,781272740400
2023-07-20,71100,71500,70800,71000,9732730,-0.009762900976290068,691023830000
2023-07-21,70400,70400,69400,70300,16528926,-0.009859154929577452,1161983497800
2023-07-24,70100,70900,69900,70400,13418597,0.0014224751066855834,944669228800
2023-07-25,70000,70500,69800,70000,14314945,-0.005681818181818232,1002046150000
2023-07-26,69800,70600,68100,69800,30016221,-0.0028571428571428914,2095132225800
2023-07-27,69900,71700,69300,71700,24261179,0.027220630372492893,1739526534300
2023-07-28,71800,72400,70100,70600,19420683,-0.015341701534170138,1371100219800
2023-07-31,70900,71000,69800,69800,13035420,-0.011331444759206777,909872316000
2023-08-01,70100,71200,70000,71100,12299254,0.018624641833810962,874476959400
2023-08-02,70700,71000,69800,69900,13835020,-0.016877637130801704,967067898000
2023-08-03,69900,70200,68500,68800,20087090,-0.01573676680972813,1381991792000
2023-08-04,68800,69100,68200,68300,12360193,-0.007267441860465129,844201181900
2023-08-07,67700,69200,67600,68500,10968505,0.002928257686676483,751342592500
2023-08-08,69000,69100,67400,67600,14664709,-0.013138686131386912,991334328400
2023-08-09,68000,69600,67900,68900,17259673,0.019230769230769162,1189191469700
2023-08-10,68300,68500,67800,68000,10227311,-0.013062409288824406,695457148000
2023-08-11,68400,68800,67500,67500,9781038,-0.007352941176470562,660220065000
2023-08-14,67500,67900,66900,67300,9352343,-0.002962962962962945,629412683900
2023-08-16,66700,67100,66300,67000,13174578,-0.004457652303120341,882696726000
2023-08-17,66300,66800,66000,66700,10778652,-0.004477611940298498,718936088400
2023-08-18,66000,66700,65800,66300,11745006,-0.005997001499250421,778693897800
2023-08-21,66600,67100,66300,66600,9720067,0.004524886877828038,647356462200
2023-08-22,67200,67700,66300,66600,10500242,0.0,699316117200
2023-08-23,66700,67100,66400,67100,9549352,0.007507507507507505,640761519200
2023-08-24,68300,68700,67900,68200,15044463,0.016393442622950838,1026032376600
2023-08-25,67100,67400,66900,67100,7032462,-0.016129032258064502,471878200200
2023-08-28,66800,67000,66500,66800,5824628,-0.0044709388971684305,389085150400
2023-08-29,66900,67200,66600,66800,9114352,0.0,608838713600
2023-08-30,67300,67700,67100,67100,9181223,0.004491017964071808,616060063300
2023-08-31,67100,67200,66400,66900,15964630,-0.0029806259314456574,1068033747000
2023-09-01,66800,71000,66700,71000,29738235,0.06128550074738426,2111414685000
2023-09-04,72900,72900,70700,71200,26286495,0.0028169014084507005,1871598444000
2023-09-05,70900,71500,70200,70700,12330239,-0.0070224719101124045,871747897300
2023-09-06,70700,70800,69700,70000,11414620,-0.00990099009900991,799023400000
2023-09-07,70000,70600,69600,70400,13741241,0.005714285714285783,967383366400
2023-09-08,70200,70300,69600,70300,10688118,-0.0014204545454545858,751374695400
2023-09-11,70400,70800,70000,70800,11785462,0.007112375533428139,834410709600
2023-09-12,70800,71000,70400,70500,11688599,-0.004237288135593209,824046229500
2023-09-13,71100,71600,70300,70900,15955797,0.005673758865248235,1131266007300
2023-09-14,71200,71800,70800,71700,21041407,0.01128349788434413,1508668881900
2023-09-15,71700,72300,71400,72000,17823512,0.004184100418409997,1283292864000
2023-09-18,71300,71700,70200,70200,16040727,-0.025000000000000022,1126059035400
2023-09-19,70400,70800,69600,69800,11820188,-0.005698005698005715,825049122400
2023-09-20,70000,70300,69500,69600,10873015,-0.002865329512893977,756761844000
2023-09-21,69200,69800,68800,68900,10796336,-0.010057471264367845,743867550400
2023-09-22,68300,68900,68300,68800,9897840,-0.0014513788098693414,680971392000
2023-09-25,68500,69700,68500,69400,13582516,0.008720930232558155,942626610400
2023-09-26,70000,70000,68400,68600,13143470,-0.011527377521613813,901642042000
2023-09-27,68600,69100,68200,68400,14886491,-0.002915451895043719,1018235984400
2023-10-04,67400,67700,66700,67500,23361149,-0.013157894736842146,1576877557500
2023-10-05,67300,67400,66700,66700,16108313,-0.011851851851851891,1074424477100
2023-10-06,67100,67300,66000,66000,14386527,-0.010494752623688153,949510782000
2023-10-10,66200,67600,66200,66400,19889202,0.0060606060606061,1320643012800
2023-10-11,68600,69400,67900,68200,25209349,0.027108433734939652,1719277601800
2023-10-12,68600,69700,68200,68900,19311380,0.01026392961876832,1330554082000
2023-10-13,68000,68500,67700,68000,9724086,-0.013062409288824406,661237848000
2023-10-16,67900,68500,66800,67300,12599299,-0.010294117647058787,847932822700
2023-10-17,67700,69900,67400,69400,17299253,0.031203566121842385,1200568158200
2023-10-18,68900,70500,68800,70500,16493184,0.015850144092218965,1162769472000
2023-10-19,69700,70000,69400,69500,13985012,-0.014184397163120588,971958334000
2023-10-20,68900,69200,68100,68800,15204495,-0.010071942446043147,1046069256000
2023-10-23,68700,69100,68200,68400,11625959,-0.005813953488372103,795215595600
2023-10-24,68700,68800,67700,68500,12791710,0.0014619883040936088,876232135000
2023-10-25,68800,68800,67900,68000,10610703,-0.007299270072992692,721527804000
2023-10-26,67000,67900,66700,66700,15517624,-0.019117647058823573,1035025520800
2023-10-27,67100,67300,66700,67300,11334726,0.008995502248875464,762827059800
2023-10-30,66800,67800,66700,67300,10139270,0.0,682372871000
2023-10-31,67600,68300,66900,66900,14488892,-0.005943536404160454,969306874800
2023-11-01,67500,68900,67300,68600,13775256,0.025411061285500747,944982561600
2023-11-02,70000,70000,69400,69700,16350031,0.016034985422740622,1139597160700
2023-11-03,69700,70200,69500,69600,10322234,-0.0014347202295552641,718427486400
2023-11-06,69800,70900,69300,70900,22228489,0.018678160919540332,1575999870100
2023-11-07,70600,70900,70000,70900,17228731,0.0,1221517027900
2023-11-08,71300,71400,69700,69900,12901310,-0.014104372355430161,901801569000
2023-11-09,69900,70800,69600,70300,12301373,0.005722460658083017,864786521900
2023-11-10,70000,70500,69500,70500,9684347,0.002844950213371167,682746463500
2023-11-13,71300,71300,70300,70400,9246919,-0.0014184397163120588,650983097600
2023-11-14,71000,71100,70600,70800,9567984,0.005681818181818121,677413267200
2023-11-15,71600,72200,71500,72200,20148677,0.019774011299435124,1454734479400
2023-11-16,72500,73000,72300,72800,15860451,0.008310249307479145,1154640832800
2023-11-17,72300,73000,72300,72500,11494644,-0.004120879120879106,833361690000
2023-11-20,72100,73000,72100,72700,10610157,0.0027586206896552667,771358413900
2023-11-21,73100,73400,72700,72800,9712881,0.0013755158184318717,707097736800
2023-11-22,72200,73000,71900,72800,11105143,0.0,808454410400
2023-11-23,73000,73200,72200,72400,6775614,-0.005494505494505475,490554453600
2023-11-24,72400,72600,71700,71700,6676685,-0.00966850828729282,478718314500
2023-11-27,71500,72100,71100,71300,9113857,-0.00557880055788007,649818004100
2023-11-28,71400,72700,71300,72700,13283081,0.019635343618513268,965679988700
2023-11-29,72400,72800,72200,72700,9283933,0.0,674941929100
2023-11-30,72700,72800,72200,72800,15783714,0.0013755158184318717,1149054379200
2023-12-01,72400,72500,71700,72000,9871284,-0.01098901098901095,710732448000
2023-12-04,72800,72900,72400,72600,10229267,0.008333333333333304,742644784200
2023-12-05,72300,72400,71200,71200,12129682,-0.019283746556473802,863633358400
2023-12-06,71800,72100,71600,71700,8123087,0.0070224719101124045,582425337900
2023-12-07,71800,71900,71100,71500,8862017,-0.002789400278940035,633634215500
2023-12-08,72100,72800,71900,72600,10859463,0.01538461538461533,788397013800
2023-12-11,72800,73000,72200,73000,9861960,0.005509641873278293,719923080000
2023-12-12,73300,73500,73100,73500,13758646,0.006849315068493178,1011260481000
2023-12-13,73300,73500,72800,72800,13116766,-0.00952380952380949,954900564800
2023-12-14,74100,74300,72500,73100,27567593,0.004120879120879106,2015191048300
2023-12-15,73800,74000,73200,73300,15419815,0.002735978112175186,1130272439500
2023-12-18,73300,73400,72800,72900,9690551,-0.00545702592087316,706441167900
2023-12-19,73000,73400,72800,73400,8907632,0.006858710562414272,653820188800
2023-12-20,74200,74900,73800,74800,16870156,0.019073569482288777,1261887668800
2023-12-21,74600,75000,74300,75000,13478766,0.002673796791443861,1010907450000
2023-12-22,75800,76300,75400,75900,14515608,0.01200000000000001,1101734647200
2023-12-26,76100,76700,75700,76600,13164909,0.00922266139657446,1008432029400
2023-12-27,76700,78000,76500,78000,20651042,0.018276762402088753,1610781276000
2023-12-28,77700,78500,77500,78500,17797536,0.0064102564102563875,1397106576000
2024-01-02,78200,79800,78200,79600,17142847,0.014012738853503182,1364570621200
2024-01-03,78500,78800,77000,77000,21753644,-0.03266331658291455,1675030588000
2024-01-04,76100,77300,76100,76600,15324439,-0.0051948051948051965,1173852027400
2024-01-05,76700,77100,76400,76600,11304316,0.0,865910605600
2024-01-08,77000,77500,76400,76500,11088724,-0.0013054830287205776,848287386000
2024-01-09,77400,77700,74300,74700,26019249,-0.02352941176470591,1943637900300
2024-01-10,75000,75200,73200,73600,20259529,-0.014725568942436373,1491101334400
2024-01-11,72900,73600,72700,73200,57691266,-0.005434782608695676,4223000671200
2024-01-12,73000,74100,72800,73100,13038939,-0.001366120218579181,953146440900
2024-01-15,73200,74000,73200,73900,13212339,0.010943912448700521,976391852100
2024-01-16,73500,73700,72500,72600,14760415,-0.017591339648173165,1071606129000
2024-01-17,73100,73300,71000,71000,22683660,-0.02203856749311295,1610539860000
2024-01-18,71600,72000,70700,71700,17853397,0.009859154929577452,1280088564900
2024-01-19,73500,74700,73000,74700,23363427,0.04184100418410042,1745247996900
2024-01-22,75900,76000,75000,75100,19673375,0.0053547523427042165,1477470462500
2024-01-23,75700,75800,74300,75200,14786224,0.0013315579227697327,1111924044800
2024-01-24,75200,75200,73500,74000,12860661,-0.015957446808510634,951688914000
2024-01-25,74200,74800,73700,74100,11737747,0.0013513513513514486,869767052700
2024-01-26,73700,74500,73300,73400,11160062,-0.009446693657219951,819148550800
2024-01-29,73800,75200,73500,74400,13976521,0.013623978201634968,1039853162400
2024-01-30,75000,75300,73700,74300,12244418,-0.0013440860215053752,909760257400
2024-01-31,73400,74000,72500,72700,15703560,-0.021534320323014833,1141648812000
2024-02-01,73000,74200,72900,73600,19881033,0.012379642365887289,1463244028800
2024-02-02,74000,75200,73700,75200,14955881,0.021739130434782705,1124682251200
2024-02-05,74200,74800,73500,74300,19026021,-0.01196808510638303,1413633360300
2024-02-06,74300,74700,73300,74400,14559254,0.0013458950201883368,1083208497600
2024-02-07,74600,75500,74300,75000,16566445,0.008064516129032251,1242483375000
2024-02-08,75000,75200,73600,74100,20810708,-0.01200000000000001,1542073462800
2024-02-13,74800,75200,74400,75200,21966745,0.014844804318488558,1651899224000
2024-02-14,73700,74300,73700,74000,12434945,-0.015957446808510634,920185930000
2024-02-15,74200,74400,73000,73000,14120600,-0.013513513513513487,1030803800000
2024-02-16,73300,73400,72500,72800,13444781,-0.002739726027397249,978780056800
2024-02-19,72800,73900,72800,73800,12726404,0.013736263736263687,939208615200
2024-02-20,73700,73700,72800,73300,14681477,-0.006775067750677488,1076152264100
2024-02-21,73400,73700,72900,73000,11503495,-0.004092769440654842,839755135000
