Date,inflation_USA,inflation_kor,inflation_china,unemployment_kor
2020-09-30,1.7576666666666667,0.16699999999999993,0.5,4.193333333333333
2020-10-01,1.75,0.14,0.5,4.2
2020-10-02,1.7483870967741935,0.15516129032258066,0.5,4.2
2020-10-03,1.7467741935483871,0.17032258064516131,0.5,4.2
2020-10-04,1.7451612903225806,0.18548387096774194,0.5,4.2
2020-10-05,1.7435483870967743,0.2006451612903226,0.5,4.2
2020-10-06,1.7419354838709677,0.21580645161290324,0.5,4.2
2020-10-07,1.7403225806451612,0.23096774193548386,0.5,4.2
2020-10-08,1.738709677419355,0.2461290322580645,0.5,4.2
2020-10-09,1.7370967741935484,0.26129032258064516,0.5,4.2
2020-10-10,1.7354838709677418,0.27645161290322584,0.5,4.2
2020-10-11,1.7338709677419355,0.29161290322580646,0.5,4.2
2020-10-12,1.732258064516129,0.3067741935483871,0.5,4.2
2020-10-13,1.7306451612903226,0.3219354838709677,0.5,4.2
2020-10-14,1.729032258064516,0.3370967741935484,0.5,4.2
2020-10-15,1.7274193548387096,0.352258064516129,0.5,4.2
2020-10-16,1.7258064516129032,0.3674193548387097,0.5,4.2
2020-10-17,1.7241935483870967,0.3825806451612903,0.5,4.2
2020-10-18,1.7225806451612904,0.39774193548387093,0.5,4.2
2020-10-19,1.7209677419354839,0.4129032258064516,0.5,4.2
2020-10-20,1.7193548387096773,0.42806451612903224,0.5,4.2
2020-10-21,1.717741935483871,0.4432258064516129,0.5,4.2
2020-10-22,1.7161290322580645,0.45838709677419354,0.5,4.2
2020-10-23,1.714516129032258,0.47354838709677416,0.5,4.2
2020-10-24,1.7129032258064516,0.48870967741935484,0.5,4.2
2020-10-25,1.711290322580645,0.5038709677419355,0.5,4.2
2020-10-26,1.7096774193548387,0.5190322580645161,0.5,4.2
2020-10-27,1.7080645161290322,0.5341935483870968,0.5,4.2
2020-10-28,1.7064516129032257,0.5493548387096774,0.5,4.2
2020-10-29,1.7048387096774194,0.564516129032258,0.5,4.2
2020-10-30,1.7032258064516128,0.5796774193548386,0.5,4.2
2020-10-31,1.7016129032258065,0.5948387096774193,0.5,4.2
2020-11-01,1.7,0.61,0.5,4.2
2020-11-02,1.6966666666666665,0.61,0.49666666666666665,4.21
2020-11-03,1.6933333333333334,0.61,0.49333333333333335,4.22
2020-11-04,1.69,0.61,0.49,4.23
2020-11-05,1.6866666666666665,0.61,0.4866666666666667,4.24
2020-11-06,1.6833333333333333,0.61,0.48333333333333334,4.25
2020-11-07,1.68,0.61,0.48,4.26
2020-11-08,1.6766666666666667,0.61,0.4766666666666667,4.2700000000000005
2020-11-09,1.6733333333333333,0.61,0.47333333333333333,4.28
2020-11-10,1.67,0.61,0.47000000000000003,4.29
2020-11-11,1.6666666666666667,0.61,0.4666666666666667,4.3
2020-11-12,1.6633333333333333,0.61,0.4633333333333333,4.3100000000000005
2020-11-13,1.66,0.61,0.46,4.32
2020-11-14,1.6566666666666667,0.61,0.45666666666666667,4.33
2020-11-15,1.6533333333333333,0.61,0.45333333333333337,4.34
2020-11-16,1.65,0.61,0.45,4.35
2020-11-17,1.6466666666666667,0.61,0.44666666666666666,4.36
2020-11-18,1.6433333333333333,0.61,0.44333333333333336,4.37
2020-11-19,1.6400000000000001,0.61,0.44,4.38
2020-11-20,1.6366666666666667,0.61,0.43666666666666665,4.39
2020-11-21,1.6333333333333333,0.61,0.43333333333333335,4.4
2020-11-22,1.6300000000000001,0.61,0.43,4.41
2020-11-23,1.6266666666666667,0.61,0.4266666666666667,4.42
2020-11-24,1.6233333333333333,0.61,0.42333333333333334,4.43
2020-11-25,1.62,0.61,0.42000000000000004,4.44
2020-11-26,1.6166666666666667,0.61,0.4166666666666667,4.45
2020-11-27,1.6133333333333335,0.61,0.41333333333333333,4.46
2020-11-28,1.61,0.61,0.41000000000000003,4.47
2020-11-29,1.6066666666666667,0.61,0.4066666666666667,4.48
2020-11-30,1.6033333333333335,0.61,0.4033333333333333,4.49
2020-12-01,1.6,0.61,0.4,4.5
2020-12-02,1.5935483870967744,0.6209677419354839,0.3774193548387097,4.529032258064516
2020-12-03,1.5870967741935484,0.6319354838709678,0.3548387096774194,4.558064516129032
2020-12-04,1.5806451612903227,0.6429032258064515,0.33225806451612905,4.587096774193548
2020-12-05,1.5741935483870968,0.6538709677419354,0.3096774193548387,4.616129032258065
2020-12-06,1.567741935483871,0.6648387096774193,0.2870967741935484,4.645161290322581
2020-12-07,1.5612903225806452,0.6758064516129032,0.2645161290322581,4.674193548387096
2020-12-08,1.5548387096774194,0.6867741935483871,0.24193548387096778,4.703225806451613
2020-12-09,1.5483870967741935,0.697741935483871,0.21935483870967745,4.732258064516129
2020-12-10,1.5419354838709678,0.7087096774193549,0.19677419354838713,4.7612903225806456
2020-12-11,1.535483870967742,0.7196774193548388,0.1741935483870968,4.790322580645161
2020-12-12,1.5290322580645161,0.7306451612903225,0.15161290322580648,4.819354838709677
2020-12-13,1.5225806451612904,0.7416129032258064,0.12903225806451618,4.848387096774194
2020-12-14,1.5161290322580645,0.7525806451612903,0.10645161290322586,4.87741935483871
2020-12-15,1.5096774193548388,0.7635483870967742,0.08387096774193553,4.906451612903226
2020-12-16,1.5032258064516129,0.7745161290322581,0.06129032258064521,4.935483870967742
2020-12-17,1.4967741935483871,0.7854838709677419,0.03870967741935488,4.964516129032258
2020-12-18,1.4903225806451612,0.7964516129032257,0.016129032258064557,4.993548387096775
2020-12-19,1.4838709677419355,0.8074193548387096,-0.006451612903225767,5.02258064516129
2020-12-20,1.4774193548387096,0.8183870967741935,-0.029032258064516092,5.051612903225807
2020-12-21,1.4709677419354839,0.8293548387096774,-0.05161290322580642,5.080645161290323
2020-12-22,1.464516129032258,0.8403225806451613,-0.07419354838709674,5.109677419354839
2020-12-23,1.4580645161290322,0.8512903225806452,-0.09677419354838707,5.138709677419355
2020-12-24,1.4516129032258065,0.8622580645161291,-0.11935483870967734,5.167741935483871
2020-12-25,1.4451612903225806,0.8732258064516129,-0.14193548387096766,5.1967741935483875
2020-12-26,1.4387096774193548,0.8841935483870967,-0.16451612903225799,5.225806451612904
2020-12-27,1.432258064516129,0.8951612903225806,-0.1870967741935483,5.254838709677419
2020-12-28,1.4258064516129032,0.9061290322580645,-0.20967741935483863,5.283870967741936
2020-12-29,1.4193548387096773,0.9170967741935483,-0.23225806451612896,5.312903225806452
2020-12-30,1.4129032258064516,0.9280645161290322,-0.2548387096774193,5.341935483870968
